date	macro_dimension	dimension	gender	frequency
2020-11-16	Willingness to take action	Active-agentic	undefined	4
2020-11-16	Conditionality-Variables Shaping outlook	Leadership	undefined	4
2020-11-16	Conditionality-Variables Shaping outlook	External Pressure / Intervention	undefined	1
2020-11-17	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	4
2020-11-17	Perception/Sentiment	Hopeless/Negative/Pessimistic	undefined	2
2020-11-17	Willingness to take action	Active-agentic	undefined	1
2020-11-17	Conditionality-Variables Shaping outlook	Leadership	undefined	2
2020-11-17	Conditionality-Variables Shaping outlook	External Pressure / Intervention	undefined	6
2020-11-17	Conditionality-Variables Shaping outlook	Divine Intervention	undefined	2
2020-11-18	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	2
2020-11-18	Perception/Sentiment	Hopeless/Negative/Pessimistic	undefined	2
2020-11-18	Willingness to take action	Active-agentic	undefined	1
2020-11-18	Conditionality-Variables Shaping outlook	Leadership	undefined	3
2020-11-18	Conditionality-Variables Shaping outlook	External Pressure / Intervention	undefined	4
2020-11-19	Perception/Sentiment	Hopeless/Negative/Pessimistic	undefined	1
2020-11-19	Conditionality-Variables Shaping outlook	External Pressure / Intervention	undefined	1
2020-11-19	Conditionality-Variables Shaping outlook	Divine Intervention	undefined	1
2020-11-20	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	3
2020-11-20	Perception/Sentiment	Hopeless/Negative/Pessimistic	undefined	2
2020-11-20	Conditionality-Variables Shaping outlook	Leadership	undefined	1
2020-11-20	Conditionality-Variables Shaping outlook	Collective Action	undefined	1
2020-11-20	Conditionality-Variables Shaping outlook	External Pressure / Intervention	undefined	1
2020-11-20	Conditionality-Variables Shaping outlook	Divine Intervention	undefined	10
2020-11-21	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	2
2020-11-21	Conditionality-Variables Shaping outlook	Leadership	undefined	7
2020-11-21	Conditionality-Variables Shaping outlook	Collective Action	undefined	1
2020-11-21	Conditionality-Variables Shaping outlook	Divine Intervention	undefined	1
2020-11-22	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	2
2020-11-22	Perception/Sentiment	Hopeless/Negative/Pessimistic	undefined	1
2020-11-22	Conditionality-Variables Shaping outlook	Leadership	undefined	2
2020-11-22	Conditionality-Variables Shaping outlook	Divine Intervention	undefined	2
2020-11-23	Perception/Sentiment	Hopeless/Negative/Pessimistic	undefined	3
2020-11-23	Conditionality-Variables Shaping outlook	Leadership	undefined	3
2020-11-23	Conditionality-Variables Shaping outlook	External Pressure / Intervention	undefined	4
2020-11-23	Conditionality-Variables Shaping outlook	Divine Intervention	undefined	2
2020-11-24	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	3
2020-11-24	Perception/Sentiment	Hopeless/Negative/Pessimistic	undefined	1
2020-11-24	Willingness to take action	Active-agentic	undefined	3
2020-11-24	Conditionality-Variables Shaping outlook	External Pressure / Intervention	undefined	1
2020-11-24	Conditionality-Variables Shaping outlook	Divine Intervention	undefined	1
2020-11-25	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	1
2020-11-25	Perception/Sentiment	Hopeless/Negative/Pessimistic	undefined	2
2020-11-25	Willingness to take action	Active-agentic	undefined	2
2020-11-25	Conditionality-Variables Shaping outlook	Leadership	undefined	1
2020-11-25	Conditionality-Variables Shaping outlook	Collective Action	undefined	1
2020-11-25	Conditionality-Variables Shaping outlook	External Pressure / Intervention	undefined	1
2020-11-25	Conditionality-Variables Shaping outlook	Divine Intervention	undefined	1
2020-11-26	Perception/Sentiment	Hopeless/Negative/Pessimistic	undefined	1
2020-11-26	Conditionality-Variables Shaping outlook	Collective Action	undefined	1
2020-11-26	Conditionality-Variables Shaping outlook	Divine Intervention	undefined	2
2020-11-27	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	3
2020-11-27	Perception/Sentiment	Hopeless/Negative/Pessimistic	undefined	20
2020-11-27	Conditionality-Variables Shaping outlook	Collective Action	undefined	1
2020-11-27	Conditionality-Variables Shaping outlook	External Pressure / Intervention	undefined	1
2020-11-27	Conditionality-Variables Shaping outlook	Divine Intervention	undefined	2
2020-11-28	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	1
2020-11-28	Perception/Sentiment	Hopeless/Negative/Pessimistic	undefined	4
2020-11-28	Conditionality-Variables Shaping outlook	Leadership	undefined	1
2020-11-28	Conditionality-Variables Shaping outlook	Collective Action	undefined	4
2020-11-28	Conditionality-Variables Shaping outlook	External Pressure / Intervention	undefined	1
2020-11-29	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	2
2020-11-29	Perception/Sentiment	Hopeless/Negative/Pessimistic	undefined	2
2020-11-29	Conditionality-Variables Shaping outlook	Collective Action	undefined	1
2020-11-29	Conditionality-Variables Shaping outlook	External Pressure / Intervention	undefined	1
2020-11-29	Conditionality-Variables Shaping outlook	Divine Intervention	undefined	2
2020-11-30	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	3
2020-11-30	Conditionality-Variables Shaping outlook	External Pressure / Intervention	undefined	1
2020-10-01	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	2
2020-10-01	Perception/Sentiment	Hopeless/Negative/Pessimistic	undefined	1
2020-10-01	Willingness to take action	Active-agentic	undefined	1
2020-10-01	Conditionality-Variables Shaping outlook	Leadership	undefined	2
2020-10-01	Conditionality-Variables Shaping outlook	Collective Action	undefined	4
2020-10-01	Conditionality-Variables Shaping outlook	External Pressure / Intervention	undefined	2
2020-10-01	Conditionality-Variables Shaping outlook	Divine Intervention	undefined	1
2020-10-02	Perception/Sentiment	Hopeless/Negative/Pessimistic	undefined	8
2020-10-02	Willingness to take action	Active-agentic	undefined	2
2020-10-02	Conditionality-Variables Shaping outlook	Leadership	undefined	2
2020-10-02	Conditionality-Variables Shaping outlook	Collective Action	undefined	2
2020-10-03	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	1
2020-10-03	Perception/Sentiment	Hopeless/Negative/Pessimistic	undefined	4
2020-10-03	Willingness to take action	Active-agentic	undefined	2
2020-10-03	Conditionality-Variables Shaping outlook	Leadership	undefined	4
2020-10-03	Conditionality-Variables Shaping outlook	Collective Action	undefined	3
2020-10-03	Conditionality-Variables Shaping outlook	Divine Intervention	undefined	1
2020-10-04	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	2
2020-10-04	Perception/Sentiment	Hopeless/Negative/Pessimistic	undefined	1
2020-10-04	Willingness to take action	Active-agentic	undefined	1
2020-10-04	Conditionality-Variables Shaping outlook	Leadership	undefined	1
2020-10-04	Conditionality-Variables Shaping outlook	Collective Action	undefined	2
2020-10-04	Conditionality-Variables Shaping outlook	Divine Intervention	undefined	2
2020-10-05	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	1
2020-10-05	Perception/Sentiment	Hopeless/Negative/Pessimistic	undefined	5
2020-10-05	Willingness to take action	Active-agentic	undefined	1
2020-10-05	Conditionality-Variables Shaping outlook	Leadership	undefined	5
2020-10-05	Conditionality-Variables Shaping outlook	Collective Action	undefined	2
2020-10-05	Conditionality-Variables Shaping outlook	External Pressure / Intervention	undefined	1
2020-10-05	Conditionality-Variables Shaping outlook	Divine Intervention	undefined	1
2020-10-06	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	2
2020-10-06	Perception/Sentiment	Hopeless/Negative/Pessimistic	undefined	5
2020-10-06	Willingness to take action	Active-agentic	undefined	1
2020-10-06	Conditionality-Variables Shaping outlook	Leadership	undefined	5
2020-10-06	Conditionality-Variables Shaping outlook	Collective Action	undefined	1
2020-10-06	Conditionality-Variables Shaping outlook	External Pressure / Intervention	undefined	2
2020-10-07	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	4
2020-10-07	Perception/Sentiment	Hopeless/Negative/Pessimistic	undefined	6
2020-10-07	Conditionality-Variables Shaping outlook	Leadership	undefined	5
2020-10-07	Conditionality-Variables Shaping outlook	Collective Action	undefined	2
2020-10-08	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	2
2020-10-08	Perception/Sentiment	Hopeless/Negative/Pessimistic	undefined	3
2020-10-08	Conditionality-Variables Shaping outlook	Leadership	undefined	11
2020-10-08	Conditionality-Variables Shaping outlook	Divine Intervention	undefined	3
2020-10-09	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	2
2020-10-09	Perception/Sentiment	Hopeless/Negative/Pessimistic	undefined	3
2020-10-09	Willingness to take action	Active-agentic	undefined	1
2020-10-09	Conditionality-Variables Shaping outlook	Leadership	undefined	1
2020-10-09	Conditionality-Variables Shaping outlook	Collective Action	undefined	4
2020-10-09	Conditionality-Variables Shaping outlook	External Pressure / Intervention	undefined	3
2020-10-10	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	3
2020-10-10	Perception/Sentiment	Hopeless/Negative/Pessimistic	undefined	2
2020-10-10	Conditionality-Variables Shaping outlook	Leadership	undefined	2
2020-10-10	Conditionality-Variables Shaping outlook	Collective Action	undefined	2
2020-10-10	Conditionality-Variables Shaping outlook	Divine Intervention	undefined	1
2020-10-11	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	3
2020-10-11	Perception/Sentiment	Hopeless/Negative/Pessimistic	undefined	2
2020-10-11	Conditionality-Variables Shaping outlook	Leadership	undefined	4
2020-10-11	Conditionality-Variables Shaping outlook	Collective Action	undefined	1
2020-10-11	Conditionality-Variables Shaping outlook	External Pressure / Intervention	undefined	2
2020-10-11	Conditionality-Variables Shaping outlook	Divine Intervention	undefined	1
2020-10-12	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	4
2020-10-12	Perception/Sentiment	Hopeless/Negative/Pessimistic	undefined	7
2020-10-12	Willingness to take action	Active-agentic	undefined	1
2020-10-12	Conditionality-Variables Shaping outlook	Leadership	undefined	3
2020-10-12	Conditionality-Variables Shaping outlook	External Pressure / Intervention	undefined	1
2020-10-12	Conditionality-Variables Shaping outlook	Divine Intervention	undefined	1
2020-10-13	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	4
2020-10-13	Perception/Sentiment	Hopeless/Negative/Pessimistic	undefined	6
2020-10-13	Willingness to take action	Active-agentic	undefined	1
2020-10-13	Conditionality-Variables Shaping outlook	Leadership	undefined	6
2020-10-13	Conditionality-Variables Shaping outlook	External Pressure / Intervention	undefined	9
2020-10-13	Conditionality-Variables Shaping outlook	Divine Intervention	undefined	1
2020-10-14	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	1
2020-10-14	Perception/Sentiment	Hopeless/Negative/Pessimistic	undefined	2
2020-10-14	Conditionality-Variables Shaping outlook	Leadership	undefined	2
2020-10-14	Conditionality-Variables Shaping outlook	Collective Action	undefined	4
2020-10-14	Conditionality-Variables Shaping outlook	External Pressure / Intervention	undefined	1
2020-10-15	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	1
2020-10-15	Perception/Sentiment	Hopeless/Negative/Pessimistic	undefined	1
2020-10-15	Willingness to take action	Active-agentic	undefined	1
2020-10-15	Conditionality-Variables Shaping outlook	Leadership	undefined	1
2020-10-15	Conditionality-Variables Shaping outlook	External Pressure / Intervention	undefined	3
2020-10-15	Conditionality-Variables Shaping outlook	Divine Intervention	undefined	1
2020-10-16	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	4
2020-10-16	Perception/Sentiment	Hopeless/Negative/Pessimistic	undefined	1
2020-10-16	Conditionality-Variables Shaping outlook	Leadership	undefined	1
2020-10-17	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	1
2020-10-17	Perception/Sentiment	Hopeless/Negative/Pessimistic	undefined	5
2020-10-17	Conditionality-Variables Shaping outlook	Leadership	undefined	3
2020-10-17	Conditionality-Variables Shaping outlook	Collective Action	undefined	6
2020-10-17	Conditionality-Variables Shaping outlook	External Pressure / Intervention	undefined	1
2020-10-18	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	2
2020-10-18	Perception/Sentiment	Hopeless/Negative/Pessimistic	undefined	8
2020-10-18	Willingness to take action	Active-agentic	undefined	1
2020-10-18	Conditionality-Variables Shaping outlook	Leadership	undefined	2
2020-10-18	Conditionality-Variables Shaping outlook	Collective Action	undefined	1
2020-10-18	Conditionality-Variables Shaping outlook	External Pressure / Intervention	undefined	3
2020-10-19	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	1
2020-10-19	Perception/Sentiment	Hopeless/Negative/Pessimistic	undefined	3
2020-10-19	Conditionality-Variables Shaping outlook	Leadership	undefined	5
2020-10-19	Conditionality-Variables Shaping outlook	Collective Action	undefined	1
2020-10-19	Conditionality-Variables Shaping outlook	External Pressure / Intervention	undefined	1
2020-10-19	Conditionality-Variables Shaping outlook	Divine Intervention	undefined	1
2020-10-20	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	3
2020-10-20	Conditionality-Variables Shaping outlook	Leadership	undefined	2
2020-10-20	Conditionality-Variables Shaping outlook	Collective Action	undefined	2
2020-10-21	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	2
2020-10-21	Perception/Sentiment	Hopeless/Negative/Pessimistic	undefined	3
2020-10-21	Conditionality-Variables Shaping outlook	Leadership	undefined	1
2020-10-22	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	1
2020-10-22	Perception/Sentiment	Hopeless/Negative/Pessimistic	undefined	4
2020-10-22	Willingness to take action	Active-agentic	undefined	2
2020-10-22	Conditionality-Variables Shaping outlook	Leadership	undefined	25
2020-10-22	Conditionality-Variables Shaping outlook	Collective Action	undefined	2
2020-10-22	Conditionality-Variables Shaping outlook	External Pressure / Intervention	undefined	2
2020-10-23	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	3
2020-10-23	Perception/Sentiment	Hopeless/Negative/Pessimistic	undefined	1
2020-10-23	Conditionality-Variables Shaping outlook	Leadership	undefined	23
2020-10-23	Conditionality-Variables Shaping outlook	Collective Action	undefined	3
2020-10-23	Conditionality-Variables Shaping outlook	External Pressure / Intervention	undefined	2
2020-10-24	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	4
2020-10-24	Willingness to take action	Active-agentic	undefined	1
2020-10-24	Conditionality-Variables Shaping outlook	Leadership	undefined	1
2020-10-24	Conditionality-Variables Shaping outlook	Collective Action	undefined	11
2020-10-24	Conditionality-Variables Shaping outlook	External Pressure / Intervention	undefined	1
2020-10-25	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	3
2020-10-25	Perception/Sentiment	Hopeless/Negative/Pessimistic	undefined	2
2020-10-25	Conditionality-Variables Shaping outlook	Leadership	undefined	3
2020-10-25	Conditionality-Variables Shaping outlook	Collective Action	undefined	4
2020-10-26	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	4
2020-10-26	Willingness to take action	Active-agentic	undefined	1
2020-10-26	Conditionality-Variables Shaping outlook	Leadership	undefined	2
2020-10-26	Conditionality-Variables Shaping outlook	Collective Action	undefined	8
2020-10-26	Conditionality-Variables Shaping outlook	External Pressure / Intervention	undefined	2
2020-10-26	Conditionality-Variables Shaping outlook	Divine Intervention	undefined	2
2020-10-27	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	1
2020-10-27	Perception/Sentiment	Hopeless/Negative/Pessimistic	undefined	24
2020-10-27	Willingness to take action	Active-agentic	undefined	22
2020-10-27	Conditionality-Variables Shaping outlook	Collective Action	undefined	2
2020-10-27	Conditionality-Variables Shaping outlook	External Pressure / Intervention	undefined	1
2020-10-27	Conditionality-Variables Shaping outlook	Divine Intervention	undefined	1
2020-10-28	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	5
2020-10-28	Perception/Sentiment	Hopeless/Negative/Pessimistic	undefined	1
2020-10-28	Conditionality-Variables Shaping outlook	Leadership	undefined	2
2020-10-28	Conditionality-Variables Shaping outlook	Collective Action	undefined	1
2020-10-29	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	2
2020-10-29	Perception/Sentiment	Hopeless/Negative/Pessimistic	undefined	1
2020-10-29	Conditionality-Variables Shaping outlook	Leadership	undefined	2
2020-10-29	Conditionality-Variables Shaping outlook	Collective Action	undefined	1
2020-10-29	Conditionality-Variables Shaping outlook	External Pressure / Intervention	undefined	1
2020-10-30	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	2
2020-10-30	Perception/Sentiment	Hopeless/Negative/Pessimistic	undefined	1
2020-10-30	Willingness to take action	Active-agentic	undefined	1
2020-10-31	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	5
2020-10-31	Perception/Sentiment	Hopeless/Negative/Pessimistic	undefined	41
2020-10-31	Willingness to take action	Active-agentic	undefined	1
2020-10-31	Conditionality-Variables Shaping outlook	Leadership	undefined	5
2020-10-31	Conditionality-Variables Shaping outlook	Collective Action	undefined	2
2020-10-31	Conditionality-Variables Shaping outlook	External Pressure / Intervention	undefined	105
2020-09-01	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	2
2020-09-01	Perception/Sentiment	Hopeless/Negative/Pessimistic	undefined	1
2020-09-01	Willingness to take action	Active-agentic	undefined	1
2020-09-01	Conditionality-Variables Shaping outlook	Leadership	undefined	1
2020-09-01	Conditionality-Variables Shaping outlook	Collective Action	undefined	1
2020-09-01	Conditionality-Variables Shaping outlook	Divine Intervention	undefined	1
2020-09-02	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	8
2020-09-02	Conditionality-Variables Shaping outlook	Leadership	undefined	1
2020-09-02	Conditionality-Variables Shaping outlook	Collective Action	undefined	1
2020-09-02	Conditionality-Variables Shaping outlook	Divine Intervention	undefined	1
2020-09-03	Perception/Sentiment	Hopeless/Negative/Pessimistic	undefined	7
2020-09-03	Conditionality-Variables Shaping outlook	Leadership	undefined	5
2020-09-03	Conditionality-Variables Shaping outlook	External Pressure / Intervention	undefined	2
2020-09-04	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	1
2020-09-04	Willingness to take action	Active-agentic	undefined	1
2020-09-04	Conditionality-Variables Shaping outlook	Leadership	undefined	83
2020-09-04	Conditionality-Variables Shaping outlook	Collective Action	undefined	1
2020-09-05	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	2
2020-09-05	Perception/Sentiment	Hopeless/Negative/Pessimistic	undefined	1
2020-09-05	Willingness to take action	Active-agentic	undefined	1
2020-09-05	Conditionality-Variables Shaping outlook	Leadership	undefined	4
2020-09-05	Conditionality-Variables Shaping outlook	Collective Action	undefined	6
2020-09-05	Conditionality-Variables Shaping outlook	External Pressure / Intervention	undefined	1
2020-09-06	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	4
2020-09-06	Perception/Sentiment	Hopeless/Negative/Pessimistic	undefined	11
2020-09-06	Conditionality-Variables Shaping outlook	Leadership	undefined	6
2020-09-06	Conditionality-Variables Shaping outlook	External Pressure / Intervention	undefined	1
2020-09-06	Conditionality-Variables Shaping outlook	Divine Intervention	undefined	1
2020-09-07	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	3
2020-09-07	Willingness to take action	Active-agentic	undefined	2
2020-09-07	Conditionality-Variables Shaping outlook	Leadership	undefined	1
2020-09-07	Conditionality-Variables Shaping outlook	Collective Action	undefined	7
2020-09-07	Conditionality-Variables Shaping outlook	External Pressure / Intervention	undefined	3
2020-09-07	Conditionality-Variables Shaping outlook	Divine Intervention	undefined	1
2020-09-08	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	4
2020-09-08	Willingness to take action	Active-agentic	undefined	1
2020-09-08	Conditionality-Variables Shaping outlook	Leadership	undefined	2
2020-09-08	Conditionality-Variables Shaping outlook	Collective Action	undefined	2
2020-09-08	Conditionality-Variables Shaping outlook	External Pressure / Intervention	undefined	1
2020-09-08	Conditionality-Variables Shaping outlook	Divine Intervention	undefined	4
2020-09-09	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	4
2020-09-09	Perception/Sentiment	Hopeless/Negative/Pessimistic	undefined	3
2020-09-09	Willingness to take action	Active-agentic	undefined	1
2020-09-09	Conditionality-Variables Shaping outlook	Leadership	undefined	1
2020-09-09	Conditionality-Variables Shaping outlook	Collective Action	undefined	5
2020-09-10	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	2
2020-09-10	Perception/Sentiment	Hopeless/Negative/Pessimistic	undefined	5
2020-09-10	Willingness to take action	Active-agentic	undefined	2
2020-09-10	Conditionality-Variables Shaping outlook	Leadership	undefined	4
2020-09-10	Conditionality-Variables Shaping outlook	Collective Action	undefined	3
2020-09-10	Conditionality-Variables Shaping outlook	External Pressure / Intervention	undefined	1
2020-09-10	Conditionality-Variables Shaping outlook	Divine Intervention	undefined	1
2020-09-11	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	1
2020-09-11	Conditionality-Variables Shaping outlook	Leadership	undefined	2
2020-09-11	Conditionality-Variables Shaping outlook	Divine Intervention	undefined	1
2020-09-12	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	1
2020-09-12	Perception/Sentiment	Hopeless/Negative/Pessimistic	undefined	3
2020-09-12	Conditionality-Variables Shaping outlook	Leadership	undefined	1
2020-09-12	Conditionality-Variables Shaping outlook	Collective Action	undefined	3
2020-09-12	Conditionality-Variables Shaping outlook	External Pressure / Intervention	undefined	2
2020-09-12	Conditionality-Variables Shaping outlook	Divine Intervention	undefined	1
2020-09-13	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	3
2020-09-13	Perception/Sentiment	Hopeless/Negative/Pessimistic	undefined	4
2020-09-13	Conditionality-Variables Shaping outlook	Leadership	undefined	2
2020-09-13	Conditionality-Variables Shaping outlook	Collective Action	undefined	2
2020-09-13	Conditionality-Variables Shaping outlook	External Pressure / Intervention	undefined	3
2020-09-13	Conditionality-Variables Shaping outlook	Divine Intervention	undefined	3
2020-09-14	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	6
2020-09-14	Conditionality-Variables Shaping outlook	Leadership	undefined	2
2020-09-14	Conditionality-Variables Shaping outlook	Collective Action	undefined	3
2020-09-14	Conditionality-Variables Shaping outlook	External Pressure / Intervention	undefined	1
2020-09-15	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	3
2020-09-15	Perception/Sentiment	Hopeless/Negative/Pessimistic	undefined	8
2020-09-15	Willingness to take action	Active-agentic	undefined	2
2020-09-15	Conditionality-Variables Shaping outlook	Leadership	undefined	9
2020-09-15	Conditionality-Variables Shaping outlook	Divine Intervention	undefined	1
2020-09-16	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	3
2020-09-16	Perception/Sentiment	Hopeless/Negative/Pessimistic	undefined	3
2020-09-16	Willingness to take action	Active-agentic	undefined	1
2020-09-16	Conditionality-Variables Shaping outlook	Leadership	undefined	1
2020-09-16	Conditionality-Variables Shaping outlook	Divine Intervention	undefined	1
2020-09-17	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	1
2020-09-17	Perception/Sentiment	Hopeless/Negative/Pessimistic	undefined	2
2020-09-17	Conditionality-Variables Shaping outlook	Leadership	undefined	1
2020-09-17	Conditionality-Variables Shaping outlook	Collective Action	undefined	1
2020-09-17	Conditionality-Variables Shaping outlook	External Pressure / Intervention	undefined	3
2020-09-17	Conditionality-Variables Shaping outlook	Divine Intervention	undefined	2
2020-09-18	Perception/Sentiment	Hopeless/Negative/Pessimistic	undefined	7
2020-09-18	Willingness to take action	Active-agentic	undefined	1
2020-09-18	Conditionality-Variables Shaping outlook	Leadership	undefined	7
2020-09-18	Conditionality-Variables Shaping outlook	External Pressure / Intervention	undefined	1
2020-09-18	Conditionality-Variables Shaping outlook	Divine Intervention	undefined	3
2020-09-19	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	3
2020-09-19	Perception/Sentiment	Hopeless/Negative/Pessimistic	undefined	5
2020-09-19	Conditionality-Variables Shaping outlook	Leadership	undefined	2
2020-09-19	Conditionality-Variables Shaping outlook	Collective Action	undefined	2
2020-09-20	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	2
2020-09-20	Perception/Sentiment	Hopeless/Negative/Pessimistic	undefined	5
2020-09-20	Conditionality-Variables Shaping outlook	Leadership	undefined	5
2020-09-20	Conditionality-Variables Shaping outlook	External Pressure / Intervention	undefined	1
2020-09-20	Conditionality-Variables Shaping outlook	Divine Intervention	undefined	1
2020-09-21	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	10
2020-09-21	Perception/Sentiment	Hopeless/Negative/Pessimistic	undefined	6
2020-09-21	Willingness to take action	Active-agentic	undefined	2
2020-09-21	Conditionality-Variables Shaping outlook	Leadership	undefined	16
2020-09-21	Conditionality-Variables Shaping outlook	Collective Action	undefined	2
2020-09-21	Conditionality-Variables Shaping outlook	External Pressure / Intervention	undefined	2
2020-09-21	Conditionality-Variables Shaping outlook	Divine Intervention	undefined	2
2020-09-22	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	4
2020-09-22	Perception/Sentiment	Hopeless/Negative/Pessimistic	undefined	5
2020-09-22	Willingness to take action	Active-agentic	undefined	2
2020-09-22	Conditionality-Variables Shaping outlook	Leadership	undefined	4
2020-09-22	Conditionality-Variables Shaping outlook	External Pressure / Intervention	undefined	1
2020-09-22	Conditionality-Variables Shaping outlook	Divine Intervention	undefined	1
2020-09-23	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	4
2020-09-23	Perception/Sentiment	Hopeless/Negative/Pessimistic	undefined	7
2020-09-23	Willingness to take action	Active-agentic	undefined	1
2020-09-23	Conditionality-Variables Shaping outlook	Leadership	undefined	1
2020-09-23	Conditionality-Variables Shaping outlook	Collective Action	undefined	1
2020-09-23	Conditionality-Variables Shaping outlook	External Pressure / Intervention	undefined	1
2020-09-23	Conditionality-Variables Shaping outlook	Divine Intervention	undefined	2
2020-09-24	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	3
2020-09-24	Perception/Sentiment	Hopeless/Negative/Pessimistic	undefined	4
2020-09-24	Conditionality-Variables Shaping outlook	Leadership	undefined	1
2020-09-24	Conditionality-Variables Shaping outlook	Collective Action	undefined	1
2020-09-24	Conditionality-Variables Shaping outlook	External Pressure / Intervention	undefined	1
2020-09-25	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	4
2020-09-25	Conditionality-Variables Shaping outlook	Leadership	undefined	3
2020-09-25	Conditionality-Variables Shaping outlook	Collective Action	undefined	1
2020-09-25	Conditionality-Variables Shaping outlook	External Pressure / Intervention	undefined	3
2020-09-26	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	7
2020-09-26	Perception/Sentiment	Hopeless/Negative/Pessimistic	undefined	1
2020-09-26	Conditionality-Variables Shaping outlook	Leadership	undefined	1
2020-09-26	Conditionality-Variables Shaping outlook	External Pressure / Intervention	undefined	2
2020-09-26	Conditionality-Variables Shaping outlook	Divine Intervention	undefined	1
2020-09-27	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	2
2020-09-27	Conditionality-Variables Shaping outlook	Leadership	undefined	1
2020-09-28	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	3
2020-09-28	Perception/Sentiment	Hopeless/Negative/Pessimistic	undefined	3
2020-09-28	Conditionality-Variables Shaping outlook	Leadership	undefined	2
2020-09-28	Conditionality-Variables Shaping outlook	Collective Action	undefined	1
2020-09-28	Conditionality-Variables Shaping outlook	External Pressure / Intervention	undefined	1
2020-09-29	Perception/Sentiment	Hopeful/Positive/Optimistic	undefined	3
2020-09-29	Perception/Sentiment	Hopeless/Negative/Pessimistic	undefined	1
2020-09-29	Conditionality-Variables Shaping outlook	Leadership	undefined	2
2020-09-29	Conditionality-Variables Shaping outlook	Collective Action	undefined	2
2020-09-29	Conditionality-Variables Shaping outlook	External Pressure / Intervention	undefined	1
2020-09-29	Conditionality-Variables Shaping outlook	Divine Intervention	undefined	1
