date	macro_dimension	dimension	language	frequency
2020-08-31	Governance	Other - Governance	ar	18
2020-04-05	Corruption	Other - Corruption	ar	18
2020-03-07	Corruption	Other - Corruption	ar	18
2021-02-22	Corruption	Other - Corruption	ckb	1
2020-03-10	Security	Other - Security	ar	18
2020-03-11	Corruption	Other - Corruption	ar	18
2020-03-13	Corruption	Other - Corruption	ar	18
2020-01-04	Corruption	Other - Corruption	ar	18
2019-12-06	Security	Hopeful/Positive/Optimistic	ar	18
2019-12-07	Security	Hopeful/Positive/Optimistic	ar	18
2019-12-21	Security	Other - Security	ar	18
2021-02-23	Security	Other - Security	ckb	3
2019-10-08	Corruption	Other - Corruption	ar	18
2019-08-27	Security	Other - Security	ar	18
2019-03-10	Security	Other - Security	ar	18
2019-03-11	Security	Other - Security	ar	18
2019-03-23	Security	Other - Security	ar	18
2019-01-13	Security	Other - Security	ar	18
2018-09-02	Corruption	Other - Corruption	ar	18
2018-07-19	Corruption	Other - Corruption	ar	18
2018-07-23	Corruption	Other - Corruption	ar	18
2018-05-15	Corruption	Other - Corruption	ar	18
2021-06-07	Corruption	Other - Corruption	ar	17
2021-02-24	Security	Other - Security	ckb	1
2021-04-08	Corruption	Other - Corruption	ar	17
2021-04-21	Corruption	Other - Corruption	ar	17
2021-03-06	Corruption	Other - Corruption	ar	17
2021-03-17	Corruption	Other - Corruption	ar	17
2021-03-30	Security	Other - Security	ar	17
2021-02-02	Corruption	Other - Corruption	ar	17
2021-02-06	Security	Other - Security	ar	17
2021-02-25	Security	Other - Security	ckb	3
2021-01-06	Security	Hopeful/Positive/Optimistic	ar	17
2021-01-07	Security	Other - Security	ar	17
2021-01-11	Corruption	Other - Corruption	ar	17
2021-01-18	Corruption	Other - Corruption	ar	17
2020-12-13	Governance	Other - Governance	ar	17
2020-12-28	Security	Other - Security	ar	17
2020-12-30	Corruption	Other - Corruption	ar	17
2020-10-04	Security	Other - Security	ar	17
2020-09-05	Security	Other - Security	ar	17
2020-09-18	Security	Other - Security	ar	17
2020-09-20	Economy	Other - Economy	ar	17
2020-08-05	Security	Hopeless/Negative/Pessimistic	ar	17
2020-08-14	Economy	Other - Economy	ar	17
2020-08-27	Security	Other - Security	ar	17
2020-07-22	Corruption	Other - Corruption	ar	17
2020-05-31	Security	Other - Security	ar	17
2020-04-07	Corruption	Other - Corruption	ar	17
2020-04-08	Security	Hopeless/Negative/Pessimistic	ar	17
2020-04-21	Corruption	Other - Corruption	ar	17
2020-04-23	Security	Other - Security	ar	17
2020-04-29	Services	Other - Services	ar	17
2020-03-06	Security	Other - Security	ar	17
2020-03-08	Security	Other - Security	ar	17
2020-03-19	Security	Other - Security	ar	17
2019-11-02	Security	Other - Security	ar	17
2019-10-15	Corruption	Other - Corruption	ar	17
2019-09-01	Corruption	Other - Corruption	ar	17
2019-08-01	Services	Other - Services	ar	17
2019-08-06	Security	Other - Security	ar	17
2021-02-27	Security	Other - Security	ckb	3
2019-08-13	Security	Other - Security	ar	17
2019-07-17	Security	Other - Security	ar	17
2019-07-19	Corruption	Other - Corruption	ar	17
2019-06-11	Security	Other - Security	ar	17
2019-05-14	Security	Other - Security	ar	17
2019-05-17	Corruption	Other - Corruption	ar	17
2019-03-18	Security	Other - Security	ar	17
2019-03-22	Security	Other - Security	ar	17
2019-03-28	Security	Other - Security	ar	17
2021-02-27	Governance	Other - Governance	fa	1
2018-09-06	Security	Other - Security	ar	17
2018-09-10	Security	Other - Security	ar	17
2021-02-28	Security	Other - Security	ckb	2
2021-02-28	Security	Other - Security	fa	1
2018-09-11	Corruption	Other - Corruption	ar	17
2018-09-13	Corruption	Other - Corruption	ar	17
2018-09-21	Security	Other - Security	ar	17
2018-09-21	Corruption	Other - Corruption	ar	17
2018-09-23	Corruption	Other - Corruption	ar	17
2018-07-03	Security	Other - Security	ar	17
2018-07-17	Security	Other - Security	ar	17
2018-07-20	Security	Other - Security	ar	17
2018-06-02	Corruption	Other - Corruption	ar	17
2018-05-05	Corruption	Other - Corruption	ar	17
2018-05-14	Corruption	Other - Corruption	ar	17
2018-01-11	Security	Other - Security	ar	17
2021-01-01	Security	Other - Security	fa	1
2018-01-13	Security	Other - Security	ar	17
2018-01-26	Security	Other - Security	ar	17
2021-04-06	Security	Other - Security	ar	16
2021-04-12	Corruption	Other - Corruption	ar	16
2021-04-13	Corruption	Other - Corruption	ar	16
2021-03-02	Economy	Other - Economy	ar	16
2021-03-20	Corruption	Other - Corruption	ar	16
2021-02-22	Corruption	Other - Corruption	ar	16
2021-01-04	Security	Other - Security	ar	16
2021-01-16	Security	Other - Security	ar	16
2021-01-02	Security	Other - Security	ckb	1
2020-12-03	Security	Other - Security	ar	16
2020-12-04	Corruption	Other - Corruption	ar	16
2020-12-13	Corruption	Other - Corruption	ar	16
2020-12-14	Security	Other - Security	ar	16
2020-12-29	Security	Other - Security	ar	16
2020-10-09	Security	Other - Security	ar	16
2020-09-08	Security	Other - Security	ar	16
2021-01-02	Services	Collective Action	und	1
2020-08-31	Corruption	Other - Corruption	ar	16
2021-01-03	Security	Other - Security	ckb	2
2020-07-10	Services	Collective Action	ar	16
2020-07-24	Corruption	Other - Corruption	ar	16
2021-01-03	Security	Hopeless/Negative/Pessimistic	ckb	1
2020-04-10	Corruption	Other - Corruption	ar	16
2020-04-25	Governance	Other - Governance	ar	16
2019-12-18	Governance	Other - Governance	ar	16
2019-11-13	Security	Other - Security	ar	16
2021-01-03	Corruption	Other - Corruption	ckb	1
2019-10-19	Security	Other - Security	ar	16
2019-10-31	Governance	Other - Governance	ar	16
2019-09-16	Corruption	Other - Corruption	ar	16
2021-01-04	Security	Other - Security	ckb	2
2021-01-04	Security	Other - Security	und	1
2019-09-30	Corruption	Other - Corruption	ar	16
2019-08-03	Security	Other - Security	ar	16
2019-08-10	Corruption	Other - Corruption	ar	16
2019-07-03	Security	Other - Security	ar	16
2019-07-27	Security	Other - Security	ar	16
2019-07-29	Security	Other - Security	ar	16
2019-06-21	Corruption	Other - Corruption	ar	16
2019-05-19	Corruption	Other - Corruption	ar	16
2019-05-27	Corruption	Other - Corruption	ar	16
2019-03-15	Security	Other - Security	ar	16
2019-03-24	Security	Other - Security	ar	16
2021-01-05	Security	Other - Security	ckb	1
2019-03-25	Corruption	Other - Corruption	ar	16
2019-03-27	Security	Other - Security	ar	16
2019-03-29	Security	Other - Security	ar	16
2019-01-28	Corruption	Other - Corruption	ar	16
2019-01-29	Corruption	Other - Corruption	ar	16
2018-09-15	Security	Other - Security	ar	16
2018-09-19	Corruption	Other - Corruption	ar	16
2018-09-22	Security	Other - Security	ar	16
2018-06-03	Corruption	Other - Corruption	ar	16
2018-05-06	Corruption	Other - Corruption	ar	16
2021-06-02	Services	Collective Action	ar	15
2021-06-21	Corruption	Other - Corruption	ar	15
2021-04-14	Security	Other - Security	ar	15
2021-04-14	Corruption	Other - Corruption	ar	15
2021-04-25	Security	Other - Security	ar	15
2021-03-02	Corruption	Active-agentic	ar	15
2021-03-05	Security	Other - Security	ar	15
2021-03-22	Corruption	Other - Corruption	ar	15
2021-03-25	Security	Hopeless/Negative/Pessimistic	ar	15
2021-02-19	Corruption	Other - Corruption	ar	15
2021-02-25	Corruption	Other - Corruption	ar	15
2021-02-25	Corruption	Active-agentic	ar	15
2021-01-12	Corruption	Other - Corruption	ar	15
2020-12-05	Security	Other - Security	ar	15
2020-12-18	Security	Other - Security	ar	15
2020-12-22	Security	Other - Security	ar	15
2020-11-14	Security	Other - Security	ar	15
2020-09-13	Governance	Other - Governance	ar	15
2020-09-20	Economy	Other - Economy	ar	15
2020-08-20	Corruption	Other - Corruption	ar	15
2020-07-08	Services	Collective Action	ar	15
2020-06-05	Security	Other - Security	ar	15
2020-06-29	Security	Other - Security	ar	15
2020-05-21	Governance	Other - Governance	ar	15
2020-05-31	Services	Divine Intervention	ar	15
2020-04-11	Corruption	Other - Corruption	ar	15
2020-04-22	Governance	Other - Governance	ar	15
2020-04-23	Services	Divine Intervention	ar	15
2020-03-10	Corruption	Other - Corruption	ar	15
2019-12-13	Security	Other - Security	ar	15
2021-01-09	Security	Other - Security	ckb	1
2019-12-20	Governance	Other - Governance	ar	15
2019-11-11	Security	Other - Security	ar	15
2019-11-11	Corruption	Other - Corruption	ar	15
2019-10-03	Security	Other - Security	ar	15
2019-10-12	Corruption	Other - Corruption	ar	15
2019-10-21	Security	Other - Security	ar	15
2019-09-01	Security	Other - Security	ar	15
2021-01-09	Services	Collective Action	ckb	1
2019-09-10	Corruption	Other - Corruption	ar	15
2019-09-15	Corruption	Other - Corruption	ar	15
2019-08-08	Security	Other - Security	ar	15
2019-08-08	Corruption	Other - Corruption	ar	15
2021-01-10	Security	Other - Security	ckb	1
2019-08-24	Security	Other - Security	ar	15
2019-07-25	Corruption	Other - Corruption	ar	15
2019-06-06	Security	Other - Security	ar	15
2019-06-30	Corruption	Other - Corruption	ar	15
2019-03-23	Corruption	Other - Corruption	ar	15
2019-01-02	Security	Other - Security	ar	15
2019-01-26	Security	Other - Security	ar	15
2021-01-10	Services	Collective Action	ckb	1
2018-10-26	Security	Other - Security	ar	15
2018-09-05	Security	Other - Security	ar	15
2018-09-14	Security	Other - Security	ar	15
2018-09-17	Security	Other - Security	ar	15
2021-01-11	Security	Other - Security	ckb	1
2018-07-04	Security	Other - Security	ar	15
2018-07-11	Security	Other - Security	ar	15
2018-07-31	Security	Other - Security	ar	15
2018-06-29	Corruption	Other - Corruption	ar	15
2018-05-10	Corruption	Other - Corruption	ar	15
2018-04-19	Corruption	Other - Corruption	ar	15
2018-01-28	Security	Other - Security	ar	15
2018-01-29	Security	Other - Security	ar	15
2021-06-07	Corruption	Other - Corruption	ar	14
2021-06-13	Corruption	Other - Corruption	ar	14
2021-06-21	Governance	Other - Governance	ar	14
2021-06-29	Security	Other - Security	ar	14
2021-02-06	Governance	Other - Governance	ar	14
2021-01-06	Corruption	Other - Corruption	ar	14
2021-01-12	Security	Other - Security	ckb	1
2021-01-12	Security	Other - Security	und	3
2021-01-21	Security	Other - Security	ar	14
2020-12-04	Governance	Other - Governance	ar	14
2020-12-06	Services	Collective Action	ar	14
2020-12-25	Corruption	Other - Corruption	ar	14
2020-12-26	Security	Other - Security	ar	14
2020-11-22	Security	Other - Security	ar	14
2020-11-28	Security	Other - Security	ar	14
2020-10-10	Security	Other - Security	ar	14
2020-09-09	Governance	Other - Governance	ar	14
2020-09-16	Services	Collective Action	ar	14
2020-08-02	Security	Other - Security	ar	14
2020-07-06	Security	Other - Security	ar	14
2020-07-26	Services	Other - Services	ar	14
2020-06-28	Services	Divine Intervention	ar	14
2020-03-22	Corruption	Other - Corruption	ar	14
2020-03-23	Security	Other - Security	ar	14
2020-03-25	Corruption	Other - Corruption	ar	14
2019-10-14	Corruption	Other - Corruption	ar	14
2019-09-20	Security	Other - Security	ar	14
2019-09-23	Security	Other - Security	ar	14
2019-07-05	Corruption	Other - Corruption	ar	14
2019-06-10	Security	Other - Security	ar	14
2019-06-16	Security	Other - Security	ar	14
2019-06-20	Corruption	Other - Corruption	ar	14
2019-05-10	Security	Other - Security	ar	14
2019-05-31	Security	Other - Security	ar	14
2019-03-01	Corruption	Other - Corruption	ar	14
2019-01-06	Security	Other - Security	ar	14
2021-01-14	Security	Other - Security	ckb	2
2018-09-17	Corruption	Other - Corruption	ar	14
2018-09-18	Security	Other - Security	ar	14
2018-07-02	Corruption	Other - Corruption	ar	14
2021-01-14	Corruption	Other - Corruption	ckb	1
2021-01-14	Corruption	Other - Corruption	fa	1
2018-07-08	Security	Other - Security	ar	14
2018-07-19	Security	Other - Security	ar	14
2018-07-26	Security	Other - Security	ar	14
2018-07-28	Corruption	Other - Corruption	ar	14
2018-06-06	Security	Other - Security	ar	14
2021-01-15	Security	Other - Security	ckb	1
2018-06-21	Security	Other - Security	ar	14
2018-06-24	Security	Other - Security	ar	14
2018-06-24	Corruption	Other - Corruption	ar	14
2018-06-28	Security	Other - Security	ar	14
2018-01-11	Corruption	Other - Corruption	ar	14
2018-01-14	Corruption	Other - Corruption	ar	14
2021-04-02	Security	Other - Security	ar	13
2021-03-03	Corruption	Other - Corruption	ar	13
2021-02-08	Corruption	Other - Corruption	ar	13
2021-02-11	Security	Other - Security	ar	13
2021-02-24	Corruption	Other - Corruption	ar	13
2021-01-16	Security	Other - Security	ckb	4
2021-01-16	Security	Other - Security	fa	1
2021-01-04	Corruption	Other - Corruption	ar	13
2020-12-09	Security	Other - Security	ar	13
2020-12-19	Governance	Other - Governance	ar	13
2020-12-28	Corruption	Other - Corruption	ar	13
2020-11-19	Security	Other - Security	ar	13
2020-10-13	Security	Other - Security	ar	13
2020-10-16	Services	Collective Action	ar	13
2020-09-18	Corruption	Active-agentic	ar	13
2020-09-19	Governance	Other - Governance	ar	13
2020-08-01	Security	Other - Security	ar	13
2020-08-19	Corruption	Other - Corruption	ar	13
2020-07-16	Security	Other - Security	ar	13
2021-01-17	Security	Other - Security	ckb	3
2020-05-21	Security	Other - Security	ar	13
2020-04-14	Corruption	Other - Corruption	ar	13
2020-04-27	Security	Other - Security	ar	13
2020-03-14	Corruption	Other - Corruption	ar	13
2020-02-01	Governance	Other - Governance	ar	13
2020-02-20	Corruption	Other - Corruption	ar	13
2020-01-03	Security	Hopeless/Negative/Pessimistic	ar	13
2020-01-05	Security	Hopeless/Negative/Pessimistic	ar	13
2019-12-24	Governance	Other - Governance	ar	13
2019-11-05	Security	Other - Security	ar	13
2019-11-19	Security	Other - Security	ar	13
2019-11-20	Security	Other - Security	ar	13
2019-11-28	Security	Other - Security	ar	13
2019-11-30	Governance	Other - Governance	ar	13
2019-10-05	Corruption	Other - Corruption	ar	13
2019-10-22	Security	Other - Security	ar	13
2019-09-03	Corruption	Other - Corruption	ar	13
2019-09-13	Security	Other - Security	ar	13
2019-08-07	Corruption	Other - Corruption	ar	13
2019-08-11	Security	Other - Security	ar	13
2019-07-06	Corruption	Other - Corruption	ar	13
2019-07-18	Security	Other - Security	ar	13
2019-07-22	Corruption	Other - Corruption	ar	13
2019-07-31	Security	Other - Security	ar	13
2021-01-19	Security	Other - Security	ckb	1
2021-01-19	Security	Other - Security	und	1
2019-06-13	Security	Other - Security	ar	13
2019-05-19	Security	Other - Security	ar	13
2019-05-24	Corruption	Other - Corruption	ar	13
2019-03-10	Corruption	Other - Corruption	ar	13
2019-03-21	Security	Other - Security	ar	13
2021-01-19	Corruption	Other - Corruption	und	1
2019-01-14	Security	Other - Security	ar	13
2019-01-25	Security	Other - Security	ar	13
2019-01-31	Corruption	Other - Corruption	ar	13
2018-10-19	Corruption	Other - Corruption	ar	13
2018-10-22	Security	Other - Security	ar	13
2018-09-03	Corruption	Other - Corruption	ar	13
2018-09-20	Corruption	Other - Corruption	ar	13
2018-07-05	Security	Other - Security	ar	13
2018-07-15	Security	Other - Security	ar	13
2021-01-20	Security	Other - Security	fa	1
2018-07-24	Corruption	Other - Corruption	ar	13
2018-07-31	Corruption	Other - Corruption	ar	13
2018-06-04	Security	Other - Security	ar	13
2021-01-20	Security	Other - Security	fa	1
2021-01-20	Security	Other - Security	ckb	1
2018-06-11	Corruption	Other - Corruption	ar	13
2021-01-20	Corruption	Other - Corruption	en	1
2021-01-20	Corruption	Other - Corruption	und	1
2018-05-14	Security	Other - Security	ar	13
2018-05-20	Security	Other - Security	ar	13
2018-05-22	Security	Other - Security	ar	13
2018-05-22	Corruption	Other - Corruption	ar	13
2018-01-15	Security	Other - Security	ar	13
2018-01-29	Corruption	Other - Corruption	ar	13
2018-01-30	Security	Other - Security	ar	13
2021-06-12	Security	Other - Security	ar	12
2021-06-27	Corruption	Other - Corruption	ar	12
2021-04-18	Governance	Other - Governance	ar	12
2021-04-25	Governance	Other - Governance	ar	12
2021-03-08	Corruption	Other - Corruption	ar	12
2021-03-24	Corruption	Other - Corruption	ar	12
2021-01-01	Corruption	Other - Corruption	ar	12
2021-01-21	Security	Other - Security	und	1
2021-01-12	Services	Collective Action	ar	12
2021-01-13	Corruption	Other - Corruption	ar	12
2020-12-11	Governance	Other - Governance	ar	12
2020-12-16	Security	Other - Security	ar	12
2020-12-16	Security	Other - Security	ar	12
2020-12-26	Corruption	Other - Corruption	ar	12
2020-12-29	Security	Other - Security	ar	12
2020-11-21	Security	Other - Security	ar	12
2020-11-28	Services	Other - Services	ar	12
2020-10-06	Security	Other - Security	ar	12
2021-01-22	Security	Other - Security	ckb	1
2020-10-07	Security	Other - Security	ar	12
2020-10-07	Security	Other - Security	ar	12
2020-09-08	Security	Other - Security	ar	12
2020-09-14	Corruption	Other - Corruption	ar	12
2020-08-10	Security	Other - Security	ar	12
2020-08-14	Services	Other - Services	ar	12
2020-07-12	Security	Other - Security	ar	12
2020-07-18	Security	Other - Security	ar	12
2020-06-03	Security	Other - Security	ar	12
2020-06-03	Security	Other - Security	ar	12
2020-06-03	Services	Collective Action	ar	12
2020-06-30	Services	Divine Intervention	ar	12
2020-05-02	Security	Other - Security	ar	12
2021-01-23	Security	Other - Security	ckb	1
2020-05-03	Security	Other - Security	ar	12
2021-01-23	Security	Hopeful/Positive/Optimistic	und	1
2020-05-17	Security	Other - Security	ar	12
2020-04-04	Corruption	Other - Corruption	ar	12
2020-04-19	Security	Other - Security	ar	12
2020-03-27	Corruption	Other - Corruption	ar	12
2019-12-01	Governance	Other - Governance	ar	12
2021-01-23	Corruption	Other - Corruption	und	21
2019-12-12	Security	Other - Security	ar	12
2019-12-14	Security	Other - Security	ar	12
2019-12-25	Governance	Other - Governance	ar	12
2019-11-23	Security	Other - Security	ar	12
2019-11-28	Security	Other - Security	ar	12
2019-10-12	Security	Other - Security	ar	12
2019-10-14	Security	Other - Security	ar	12
2021-01-24	Security	Other - Security	ckb	2
2019-10-20	Security	Other - Security	ar	12
2019-09-05	Security	Other - Security	ar	12
2019-09-06	Corruption	Other - Corruption	ar	12
2019-09-08	Security	Other - Security	ar	12
2019-09-13	Corruption	Other - Corruption	ar	12
2019-09-14	Security	Other - Security	ar	12
2021-01-24	Corruption	Other - Corruption	und	9
2019-09-14	Corruption	Other - Corruption	ar	12
2019-09-17	Security	Other - Security	ar	12
2019-09-19	Security	Other - Security	ar	12
2019-09-19	Corruption	Other - Corruption	ar	12
2019-09-20	Corruption	Other - Corruption	ar	12
2019-09-23	Corruption	Other - Corruption	ar	12
2019-09-27	Security	Other - Security	ar	12
2019-08-03	Corruption	Other - Corruption	ar	12
2019-08-17	Security	Other - Security	ar	12
2019-08-19	Corruption	Other - Corruption	ar	12
2019-07-14	Security	Other - Security	ar	12
2019-07-16	Corruption	Other - Corruption	ar	12
2019-07-20	Security	Other - Security	ar	12
2019-07-20	Corruption	Other - Corruption	ar	12
2019-07-28	Security	Other - Security	ar	12
2019-06-12	Corruption	Other - Corruption	ar	12
2019-06-21	Security	Other - Security	ar	12
2019-05-13	Corruption	Other - Corruption	ar	12
2019-03-12	Security	Other - Security	ar	12
2019-03-14	Corruption	Other - Corruption	ar	12
2021-01-26	Security	Other - Security	ckb	3
2019-03-21	Corruption	Other - Corruption	ar	12
2019-01-04	Corruption	Other - Corruption	ar	12
2019-01-16	Security	Other - Security	ar	12
2019-01-18	Security	Other - Security	ar	12
2019-01-20	Corruption	Other - Corruption	ar	12
2019-01-24	Corruption	Other - Corruption	ar	12
2018-10-14	Security	Other - Security	ar	12
2018-10-20	Security	Other - Security	ar	12
2018-10-24	Security	Other - Security	ar	12
2018-09-02	Security	Other - Security	ar	12
2018-09-03	Security	Other - Security	ar	12
2018-09-11	Security	Other - Security	ar	12
2018-09-25	Corruption	Other - Corruption	ar	12
2018-07-11	Corruption	Other - Corruption	ar	12
2018-07-23	Security	Other - Security	ar	12
2018-07-28	Security	Other - Security	ar	12
2018-06-13	Security	Other - Security	ar	12
2018-06-15	Security	Other - Security	ar	12
2018-06-19	Security	Other - Security	ar	12
2021-01-27	Corruption	Other - Corruption	fa	1
2018-06-23	Corruption	Other - Corruption	ar	12
2018-06-26	Security	Other - Security	ar	12
2018-05-07	Corruption	Other - Corruption	ar	12
2021-01-27	Services	Collective Action	fa	1
2018-05-18	Security	Other - Security	ar	12
2018-05-28	Corruption	Other - Corruption	ar	12
2018-04-03	Corruption	Other - Corruption	ar	12
2018-04-07	Corruption	Other - Corruption	ar	12
2018-04-08	Security	Other - Security	ar	12
2021-01-28	Security	Other - Security	ckb	1
2018-04-10	Security	Other - Security	ar	12
2018-04-15	Corruption	Other - Corruption	ar	12
2018-04-19	Security	Other - Security	ar	12
2018-04-24	Corruption	Other - Corruption	ar	12
2018-01-10	Corruption	Other - Corruption	ar	12
2018-01-13	Corruption	Other - Corruption	ar	12
2018-01-17	Corruption	Other - Corruption	ar	12
2018-01-24	Security	Other - Security	ar	12
2021-06-02	Security	Other - Security	ar	11
2021-06-08	Corruption	Other - Corruption	ar	11
2021-06-28	Services	Other - Services	ar	11
2021-01-29	Security	Other - Security	ckb	2
2021-04-25	Security	Other - Security	ar	11
2021-03-02	Services	Collective Action	ar	11
2021-03-31	Services	Other - Services	ar	11
2021-02-05	Security	Other - Security	ar	11
2021-01-03	Corruption	Other - Corruption	ar	11
2021-01-05	Corruption	Other - Corruption	ar	11
2021-01-29	Corruption	Other - Corruption	und	1
2021-01-08	Corruption	Other - Corruption	ar	11
2021-01-13	Security	Other - Security	ar	11
2021-01-19	Security	Other - Security	ar	11
2021-01-22	Security	Other - Security	ar	11
2021-01-23	Security	Other - Security	ar	11
2020-12-22	Security	Other - Security	ar	11
2020-11-07	Corruption	Other - Corruption	ar	11
2021-01-30	Security	Other - Security	ckb	1
2020-10-21	Economy	Other - Economy	ar	11
2020-09-06	Security	Other - Security	ar	11
2020-09-19	Security	Other - Security	ar	11
2020-09-25	Security	Other - Security	ar	11
2021-01-30	Corruption	Other - Corruption	und	1
2020-08-05	Services	Other - Services	ar	11
2020-08-15	Economy	Other - Economy	ar	11
2020-08-23	Security	Other - Security	ar	11
2020-07-05	Security	Other - Security	ar	11
2020-07-08	Security	Other - Security	ar	11
2020-07-26	Security	Other - Security	ar	11
2020-07-31	Governance	Other - Governance	ar	11
2020-06-01	Security	Other - Security	ar	11
2020-06-01	Governance	Other - Governance	ar	11
2020-06-16	Services	Divine Intervention	ar	11
2020-06-26	Security	Other - Security	ar	11
2020-05-09	Governance	Other - Governance	ar	11
2020-02-25	Security	Other - Security	ar	11
2020-01-04	Governance	Other - Governance	ar	11
2020-01-30	Governance	Other - Governance	ar	11
2019-12-06	Security	Other - Security	ar	11
2019-11-07	Corruption	Other - Corruption	ar	11
2019-11-09	Security	Other - Security	ar	11
2019-10-08	Security	Other - Security	ar	11
2020-12-01	Security	Other - Security	ckb	1
2019-10-28	Governance	Other - Governance	ar	11
2019-09-07	Security	Other - Security	ar	11
2019-09-22	Corruption	Other - Corruption	ar	11
2019-09-24	Corruption	Other - Corruption	ar	11
2019-09-29	Corruption	Other - Corruption	ar	11
2019-09-30	Security	Other - Security	ar	11
2019-08-01	Security	Other - Security	ar	11
2019-08-10	Security	Other - Security	ar	11
2019-08-12	Security	Other - Security	ar	11
2019-08-26	Security	Other - Security	ar	11
2019-07-05	Security	Other - Security	ar	11
2019-07-09	Corruption	Other - Corruption	ar	11
2019-07-10	Corruption	Other - Corruption	ar	11
2019-07-15	Security	Other - Security	ar	11
2019-07-23	Security	Other - Security	ar	11
2020-12-02	Security	Hopeless/Negative/Pessimistic	ckb	1
2019-07-26	Corruption	Other - Corruption	ar	11
2019-06-01	Corruption	Other - Corruption	ar	11
2019-06-10	Corruption	Other - Corruption	ar	11
2019-06-17	Corruption	Other - Corruption	ar	11
2019-06-24	Corruption	Other - Corruption	ar	11
2020-12-02	Corruption	Other - Corruption	ckb	1
2019-05-02	Security	Other - Security	ar	11
2019-05-03	Security	Other - Security	ar	11
2019-05-22	Corruption	Other - Corruption	ar	11
2019-03-01	Security	Other - Security	ar	11
2019-03-16	Security	Other - Security	ar	11
2019-03-24	Corruption	Other - Corruption	ar	11
2020-12-02	Governance	Other - Governance	ckb	1
2019-03-26	Security	Other - Security	ar	11
2019-01-10	Security	Other - Security	ar	11
2019-01-19	Corruption	Other - Corruption	ar	11
2020-12-03	Security	Other - Security	ckb	1
2020-12-03	Security	Other - Security	fa	1
2019-01-29	Security	Other - Security	ar	11
2018-10-13	Corruption	Other - Corruption	ar	11
2020-12-03	Security	Hopeless/Negative/Pessimistic	ckb	1
2018-10-23	Security	Other - Security	ar	11
2018-10-24	Corruption	Other - Corruption	ar	11
2018-09-14	Corruption	Other - Corruption	ar	11
2018-09-18	Corruption	Other - Corruption	ar	11
2018-09-22	Corruption	Other - Corruption	ar	11
2018-09-26	Security	Other - Security	ar	11
2018-07-06	Security	Other - Security	ar	11
2018-07-07	Corruption	Other - Corruption	ar	11
2018-07-22	Corruption	Other - Corruption	ar	11
2018-07-26	Corruption	Other - Corruption	ar	11
2018-07-30	Corruption	Other - Corruption	ar	11
2020-12-04	Security	Other - Security	fa	1
2020-12-04	Security	Other - Security	und	1
2018-06-01	Corruption	Other - Corruption	ar	11
2018-06-22	Security	Other - Security	ar	11
2018-04-22	Security	Other - Security	ar	11
2021-04-25	Services	Divine Intervention	ar	10
2021-03-10	Security	Other - Security	ar	10
2021-03-14	Services	Collective Action	ar	10
2021-03-25	Security	Other - Security	ar	10
2021-03-31	Services	Collective Action	ar	10
2021-02-19	Security	Other - Security	ar	10
2021-02-28	Economy	Other - Economy	ar	10
2020-11-13	Security	Other - Security	ar	10
2020-11-23	Security	Other - Security	ar	10
2020-10-03	Security	Other - Security	ar	10
2020-10-10	Governance	Other - Governance	ar	10
2020-10-14	Security	Other - Security	ar	10
2020-09-06	Security	Other - Security	ar	10
2020-09-06	Governance	Other - Governance	ar	10
2020-09-10	Security	Other - Security	ar	10
2020-12-06	Security	Other - Security	ckb	3
2020-09-23	Security	Other - Security	ar	10
2020-08-10	Services	Other - Services	ar	10
2020-08-19	Economy	Other - Economy	ar	10
2020-08-20	Security	Other - Security	ar	10
2020-12-06	Corruption	Other - Corruption	und	4
2020-08-22	Security	Other - Security	ar	10
2020-08-23	Services	Collective Action	ar	10
2020-07-03	Security	Other - Security	ar	10
2020-07-31	Security	Other - Security	ar	10
2020-06-01	Governance	Other - Governance	ar	10
2020-06-04	Security	Hopeless/Negative/Pessimistic	ar	10
2020-06-06	Security	Hopeless/Negative/Pessimistic	ar	10
2020-06-22	Services	Other - Services	ar	10
2020-06-26	Security	Hopeless/Negative/Pessimistic	ar	10
2020-06-27	Security	Other - Security	ar	10
2020-12-07	Security	Other - Security	ckb	3
2020-06-28	Security	Hopeless/Negative/Pessimistic	ar	10
2020-05-16	Security	Hopeless/Negative/Pessimistic	ar	10
2020-12-07	Security	Hopeless/Negative/Pessimistic	ckb	1
2020-04-01	Services	Divine Intervention	ar	10
2020-04-09	Security	Other - Security	ar	10
2020-04-12	Security	Hopeless/Negative/Pessimistic	ar	10
2020-04-13	Corruption	Other - Corruption	ar	10
2020-03-01	Governance	Other - Governance	ar	10
2020-12-07	Corruption	Other - Corruption	fa	1
2020-12-07	Corruption	Other - Corruption	und	1
2020-03-18	Services	Divine Intervention	ar	10
2020-03-21	Corruption	Other - Corruption	ar	10
2020-03-30	Services	Divine Intervention	ar	10
2020-12-07	Services	Collective Action	ckb	1
2020-02-04	Governance	Other - Governance	ar	10
2020-02-05	Security	Hopeless/Negative/Pessimistic	ar	10
2020-02-06	Security	Other - Security	ar	10
2020-01-14	Corruption	Other - Corruption	ar	10
2020-01-25	Services	Other - Services	ar	10
2019-12-06	Security	Hopeless/Negative/Pessimistic	ar	10
2019-12-07	Security	Other - Security	ar	10
2019-12-10	Security	Other - Security	ar	10
2019-12-14	Governance	Other - Governance	ar	10
2020-12-08	Corruption	Other - Corruption	ckb	1
