date	macro_dimension	dimension	gender	language	frequency
2020-12-07	Corruption	Other - Corruption	f	ar	1
2020-12-07	Corruption	Other - Corruption	m	ar	3
2020-12-07	Services	Collective Action	f	ar	1
2020-12-07	Governance	Other - Governance	m	ar	1
2020-12-08	Security	Other - Security	f	ar	1
2020-12-08	Security	Other - Security	m	ar	2
2020-12-08	Security	Hopeful/Positive/Optimistic	f	ar	1
2020-12-08	Corruption	Other - Corruption	m	ar	1
2020-12-08	Economy	Other - Economy	m	ar	1
2020-12-09	Security	Other - Security	m	ar	1
2020-12-09	Corruption	Other - Corruption	f	ar	1
2020-12-09	Governance	Other - Governance	m	ar	1
2020-12-10	Security	Other - Security	m	ar	2
2020-12-10	Security	Other - Security	m	ar	1
2020-12-10	Corruption	Other - Corruption	m	ar	1
2020-12-10	Services	Divine Intervention	m	ar	1
2020-12-10	Governance	Other - Governance	m	ar	1
2020-12-11	Security	Other - Security	f	ar	1
2020-12-11	Security	Other - Security	m	ar	2
2020-12-12	Security	Other - Security	m	ar	2
2020-12-12	Corruption	Other - Corruption	f	ar	1
2020-12-12	Services	Other - Services	m	ar	1
2020-12-13	Security	Other - Security	m	ar	1
2020-12-13	Corruption	Other - Corruption	f	ar	2
2020-12-14	Security	Other - Security	m	ar	2
2020-12-14	Corruption	Other - Corruption	m	ar	5
2020-12-14	Services	Other - Services	m	ar	1
2020-12-14	Services	Divine Intervention	m	ar	1
2020-12-15	Security	Other - Security	f	ar	2
2020-12-15	Security	Other - Security	m	ar	1
2020-12-15	Security	Hopeful/Positive/Optimistic	f	ar	1
2020-12-15	Corruption	Other - Corruption	m	ar	4
2020-12-15	Governance	Other - Governance	m	ar	1
2020-12-16	Security	Other - Security	f	ar	1
2020-12-16	Security	Other - Security	m	ar	1
2020-12-16	Security	Other - Security	m	ar	1
2020-12-16	Corruption	Other - Corruption	f	ar	1
2020-12-16	Services	Other - Services	f	ar	2
2020-12-16	Governance	Other - Governance	m	ar	1
2020-12-17	Security	Other - Security	m	ar	1
2020-12-17	Corruption	Other - Corruption	f	ar	1
2020-12-17	Corruption	Other - Corruption	m	ar	1
2020-12-18	Security	Other - Security	m	ar	1
2020-12-18	Security	Other - Security	m	ar	1
2020-12-18	Security	Other - Security	f	ar	1
2020-12-19	Security	Other - Security	m	ar	1
2020-12-19	Corruption	Other - Corruption	m	ar	4
2020-12-20	Security	Other - Security	m	ar	1
2020-12-20	Security	Other - Security	f	ar	1
2020-12-20	Security	Other - Security	f	ar	1
2020-12-20	Security	Other - Security	m	ar	1
2020-12-20	Corruption	Other - Corruption	m	ar	1
2020-12-20	Services	Collective Action	m	ar	1
2020-12-22	Corruption	Other - Corruption	f	ar	1
2020-12-24	Corruption	Other - Corruption	m	ar	2
2020-12-24	Corruption	Other - Corruption	m	ar	1
2020-12-24	Services	Other - Services	m	ar	1
2020-12-25	Security	Other - Security	m	ar	1
2020-12-26	Security	Hopeful/Positive/Optimistic	f	ar	1
2020-12-26	Security	Other - Security	m	ar	1
2020-12-26	Corruption	Other - Corruption	m	ar	1
2020-12-27	Security	Other - Security	m	ar	1
2020-12-27	Services	Other - Services	m	ar	1
2020-12-28	Corruption	Other - Corruption	m	ar	3
2020-12-28	Services	Other - Services	f	ar	1
2020-12-29	Security	Other - Security	m	ar	1
2020-12-29	Security	Hopeless/Negative/Pessimistic	m	ar	1
2020-12-30	Corruption	Other - Corruption	f	ar	1
2020-12-31	Security	Other - Security	m	ar	1
2020-12-31	Corruption	Other - Corruption	m	ar	1
2020-12-31	Services	Other - Services	m	ar	1
2020-11-01	Security	Other - Security	f	ar	2
2020-11-01	Security	Other - Security	m	ar	1
2020-11-01	Security	Other - Security	m	ar	1
2020-11-01	Corruption	Other - Corruption	f	ar	1
2020-11-01	Corruption	Other - Corruption	m	ar	3
2020-11-01	Services	Other - Services	f	ar	1
2020-11-01	Services	Other - Services	m	ar	1
2020-11-02	Security	Other - Security	m	ar	3
2020-11-02	Corruption	Other - Corruption	f	ar	2
2020-11-02	Corruption	Other - Corruption	m	ar	5
2020-11-02	Services	Other - Services	m	ar	1
2020-11-03	Security	Other - Security	m	ar	3
2020-11-03	Security	Other - Security	m	ar	1
2020-11-03	Corruption	Other - Corruption	m	ar	1
2020-11-04	Security	Other - Security	f	ar	5
2020-11-04	Security	Other - Security	m	ar	9
2020-11-04	Governance	Other - Governance	m	ar	1
2020-11-05	Corruption	Other - Corruption	f	ar	2
2020-11-06	Security	Other - Security	f	ar	2
2020-11-06	Security	Other - Security	m	ar	3
2020-11-06	Security	Hopeless/Negative/Pessimistic	f	ar	1
2020-11-06	Security	Other - Security	f	ar	2
2020-11-06	Security	Other - Security	m	ar	4
2020-11-06	Corruption	Other - Corruption	f	ar	11
2020-11-06	Corruption	Other - Corruption	m	ar	12
2020-11-06	Corruption	Other - Corruption	m	fa	1
2020-11-06	Corruption	Active-agentic	m	ar	1
2020-11-06	Services	Other - Services	f	ar	1
2020-11-06	Governance	Other - Governance	f	ar	2
2020-11-07	Security	Other - Security	f	ar	1
2020-11-07	Security	Other - Security	m	ar	2
2020-11-07	Security	Hopeful/Positive/Optimistic	m	ar	1
2020-11-07	Corruption	Other - Corruption	f	ar	1
2020-11-07	Corruption	Other - Corruption	m	ar	5
2020-11-08	Security	Other - Security	f	ar	2
2020-11-08	Security	Other - Security	m	ar	1
2020-11-08	Security	Hopeless/Negative/Pessimistic	m	ar	1
2020-11-08	Security	Other - Security	f	ar	2
2020-11-08	Corruption	Other - Corruption	f	ar	1
2020-11-08	Corruption	Other - Corruption	m	ar	3
2020-11-09	Security	Other - Security	m	ar	1
2020-11-09	Corruption	Other - Corruption	m	ar	1
2020-11-10	Security	Other - Security	m	ar	1
2020-11-10	Corruption	Other - Corruption	m	ar	1
2020-11-10	Corruption	Active-agentic	f	ar	1
2020-11-10	Services	Other - Services	m	ar	1
2020-11-10	Governance	Other - Governance	m	ar	1
2020-11-11	Security	Other - Security	f	ar	2
2020-11-11	Corruption	Other - Corruption	f	ar	1
2020-11-11	Corruption	Other - Corruption	m	ar	1
2020-11-11	Economy	Other - Economy	m	ar	1
2020-11-12	Security	Other - Security	f	ar	2
2020-11-12	Security	Other - Security	m	ar	2
2020-11-12	Security	Other - Security	m	ar	1
2020-11-12	Security	Other - Security	m	ar	1
2020-11-12	Security	Other - Security	f	ar	1
2020-11-12	Corruption	Other - Corruption	m	ar	1
2020-11-12	Governance	Other - Governance	f	ar	1
2020-11-13	Corruption	Other - Corruption	m	ar	1
2020-11-13	Services	Other - Services	m	ar	1
2020-11-14	Corruption	Other - Corruption	m	ar	2
2020-11-14	Services	Other - Services	m	ar	1
2020-11-15	Security	Other - Security	f	ar	1
2020-11-15	Security	Other - Security	m	ar	2
2020-11-15	Corruption	Other - Corruption	m	ar	2
2020-11-15	Services	Other - Services	m	ar	1
2020-11-16	Security	Other - Security	f	ar	1
2020-11-16	Security	Other - Security	m	ar	2
2020-11-16	Corruption	Other - Corruption	f	ar	1
2020-11-16	Corruption	Other - Corruption	m	ar	4
2020-11-17	Security	Other - Security	m	ar	1
2020-11-17	Corruption	Other - Corruption	f	ar	1
2020-11-17	Corruption	Other - Corruption	m	ar	1
2020-11-18	Security	Other - Security	f	ar	1
2020-11-18	Corruption	Other - Corruption	f	ar	1
2020-11-18	Services	Other - Services	m	ar	1
2020-11-19	Security	Other - Security	m	ar	1
2020-11-19	Security	Hopeful/Positive/Optimistic	m	ar	1
2020-11-19	Corruption	Other - Corruption	f	ar	1
2020-11-19	Corruption	Other - Corruption	m	ar	2
2020-11-19	Services	Collective Action	m	ar	2
2020-11-20	Security	Other - Security	m	ar	1
2020-11-20	Corruption	Other - Corruption	m	ar	1
2020-11-20	Corruption	Other - Corruption	m	ar	1
2020-11-21	Security	Other - Security	m	ar	1
2020-11-21	Corruption	Other - Corruption	f	ar	1
2020-11-21	Corruption	Other - Corruption	m	ar	4
2020-11-21	Corruption	Other - Corruption	f	ar	1
2020-11-21	Services	Other - Services	m	fa	1
2020-11-22	Security	Other - Security	m	ar	1
2020-11-22	Security	Other - Security	m	ar	1
2020-11-22	Services	Other - Services	m	ar	1
2020-11-22	Governance	Other - Governance	m	ar	1
2020-11-23	Security	Other - Security	m	ar	1
2020-11-23	Corruption	Other - Corruption	m	ar	1
2020-11-23	Services	Other - Services	m	ar	1
2020-11-23	Governance	Other - Governance	m	ar	1
2020-11-24	Security	Other - Security	m	ar	2
2020-11-24	Corruption	Other - Corruption	f	ar	1
2020-11-25	Security	Other - Security	m	ar	5
2020-11-25	Governance	Other - Governance	f	ar	1
2020-11-25	Governance	Other - Governance	m	ar	1
2020-11-25	Governance	Other - Governance	m	ar	1
2020-11-26	Security	Other - Security	f	ar	1
2020-11-26	Corruption	Other - Corruption	m	ar	3
2020-11-26	Services	Other - Services	m	ar	1
2020-11-26	Services	Collective Action	m	ar	1
2020-11-26	Governance	Other - Governance	f	ar	1
2020-11-27	Security	Other - Security	f	ar	3
2020-11-27	Security	Other - Security	m	ar	3
2020-11-27	Security	Hopeless/Negative/Pessimistic	f	ar	11
2020-11-27	Security	Hopeless/Negative/Pessimistic	m	ar	3
2020-11-27	Security	Other - Security	m	ar	3
2020-11-27	Security	Other - Security	f	ar	1
2020-11-27	Security	Other - Security	m	ar	2
2020-11-27	Security	Other - Security	f	ar	2
2020-11-27	Security	Other - Security	m	ar	10
2020-11-27	Corruption	Other - Corruption	f	ar	8
2020-11-27	Corruption	Other - Corruption	m	ar	19
2020-11-28	Security	Other - Security	f	ar	3
2020-11-28	Security	Other - Security	m	ar	7
2020-11-28	Security	Hopeful/Positive/Optimistic	m	ar	1
2020-11-28	Security	Hopeless/Negative/Pessimistic	f	ar	1
2020-11-28	Security	Other - Security	m	ar	2
2020-11-28	Security	Other - Security	f	ar	1
2020-11-28	Security	Other - Security	m	ar	3
2020-11-28	Corruption	Other - Corruption	m	ar	23
2020-11-28	Governance	Other - Governance	m	ar	2
2020-11-29	Security	Other - Security	f	ar	2
2020-11-29	Security	Other - Security	m	ar	5
2020-11-29	Security	Hopeful/Positive/Optimistic	m	ar	1
2020-11-29	Security	Other - Security	f	ar	1
2020-11-29	Security	Other - Security	m	ar	1
2020-11-29	Corruption	Other - Corruption	f	ar	2
2020-11-29	Corruption	Other - Corruption	m	ar	5
2020-11-29	Corruption	Other - Corruption	f	ar	1
2020-11-29	Services	Other - Services	m	ar	1
2020-11-29	Governance	Other - Governance	m	ar	1
2020-11-30	Security	Other - Security	m	ar	2
2020-11-30	Security	Hopeful/Positive/Optimistic	m	ar	1
2020-11-30	Security	Hopeless/Negative/Pessimistic	f	ar	1
2020-11-30	Security	Other - Security	m	ar	2
2020-11-30	Corruption	Other - Corruption	m	ar	4
2020-11-30	Governance	Other - Governance	m	ar	2
2020-10-01	Security	Other - Security	f	ar	2
2020-10-01	Security	Other - Security	m	ar	1
2020-10-01	Security	Hopeless/Negative/Pessimistic	m	ar	1
2020-10-01	Security	Other - Security	m	ar	2
2020-10-01	Corruption	Other - Corruption	f	ar	3
2020-10-01	Corruption	Other - Corruption	m	ar	12
2020-10-01	Corruption	Other - Corruption	m	ar	2
2020-10-01	Services	Collective Action	m	ar	2
2020-10-01	Economy	Other - Economy	m	ar	1
2020-10-01	Governance	Other - Governance	f	ar	1
2020-10-01	Governance	Other - Governance	m	ar	2
2020-10-02	Security	Other - Security	m	ar	1
2020-10-02	Security	Hopeless/Negative/Pessimistic	m	ar	1
2020-10-02	Security	Other - Security	m	ar	4
2020-10-02	Corruption	Other - Corruption	m	ar	1
2020-10-03	Security	Other - Security	f	ar	1
2020-10-03	Security	Other - Security	m	ar	1
2020-10-03	Security	Hopeless/Negative/Pessimistic	m	ar	1
2020-10-03	Security	Other - Security	m	ar	2
2020-10-03	Corruption	Other - Corruption	f	ar	2
2020-10-03	Corruption	Other - Corruption	m	ar	5
2020-10-04	Security	Other - Security	f	ar	1
2020-10-04	Security	Other - Security	m	ar	2
2020-10-04	Security	Other - Security	m	ar	1
2020-10-04	Security	Other - Security	f	ar	1
2020-10-04	Security	Other - Security	m	ar	1
2020-10-04	Security	Other - Security	m	ar	1
2020-10-04	Corruption	Other - Corruption	m	ar	2
2020-10-04	Corruption	Other - Corruption	m	ar	1
2020-10-04	Services	Other - Services	m	ar	1
2020-10-04	Services	Collective Action	m	ar	1
2020-10-05	Security	Other - Security	f	ar	1
2020-10-05	Corruption	Other - Corruption	m	ar	1
2020-10-05	Services	Other - Services	m	ar	1
2020-10-06	Security	Other - Security	f	ar	1
2020-10-06	Security	Other - Security	m	ar	11
2020-10-06	Security	Hopeless/Negative/Pessimistic	m	ar	1
2020-10-06	Security	Other - Security	m	ar	1
2020-10-06	Security	Other - Security	m	ar	1
2020-10-06	Security	Other - Security	f	ar	1
2020-10-06	Security	Other - Security	m	ar	1
2020-10-06	Corruption	Other - Corruption	f	ar	6
2020-10-06	Corruption	Other - Corruption	m	ar	2
2020-10-06	Services	Other - Services	m	ar	1
2020-10-06	Governance	Other - Governance	m	ar	1
2020-10-06	Governance	Other - Governance	m	ar	1
2020-10-07	Security	Other - Security	f	ar	1
2020-10-07	Security	Other - Security	m	ar	3
2020-10-07	Security	Hopeless/Negative/Pessimistic	f	ar	1
2020-10-07	Corruption	Other - Corruption	f	ar	3
2020-10-07	Corruption	Other - Corruption	m	ar	7
2020-10-07	Governance	Other - Governance	m	ar	1
2020-10-08	Security	Other - Security	m	ar	1
2020-10-08	Security	Hopeful/Positive/Optimistic	f	ar	1
2020-10-08	Security	Other - Security	m	ar	1
2020-10-08	Security	Other - Security	f	ar	1
2020-10-08	Security	Other - Security	m	ar	2
2020-10-08	Corruption	Other - Corruption	f	ar	3
2020-10-08	Corruption	Other - Corruption	m	ar	6
2020-10-09	Security	Other - Security	m	ar	3
2020-10-09	Corruption	Other - Corruption	f	ar	1
2020-10-09	Corruption	Other - Corruption	m	ar	1
2020-10-09	Services	Other - Services	m	ar	1
2020-10-10	Security	Other - Security	m	ar	2
2020-10-10	Security	Other - Security	f	ar	1
2020-10-10	Security	Other - Security	m	ar	5
2020-10-10	Corruption	Other - Corruption	f	ar	5
2020-10-10	Corruption	Other - Corruption	m	ar	2
2020-10-10	Services	Collective Action	f	ar	1
2020-10-11	Security	Other - Security	f	ar	2
2020-10-11	Security	Other - Security	m	ar	1
2020-10-11	Security	Hopeless/Negative/Pessimistic	m	ar	1
2020-10-11	Security	Other - Security	f	ar	1
2020-10-11	Security	Other - Security	f	ar	1
2020-10-11	Security	Other - Security	m	ar	1
2020-10-11	Corruption	Other - Corruption	m	ar	1
2020-10-12	Security	Other - Security	f	ar	1
2020-10-12	Security	Other - Security	m	ar	3
2020-10-12	Security	Other - Security	f	ar	2
2020-10-12	Corruption	Other - Corruption	m	ar	1
2020-10-13	Security	Hopeful/Positive/Optimistic	m	ar	1
2020-10-13	Security	Hopeless/Negative/Pessimistic	m	ar	1
2020-10-13	Security	Other - Security	m	ar	1
2020-10-13	Security	Other - Security	m	ar	2
2020-10-13	Corruption	Other - Corruption	f	ar	1
2020-10-13	Corruption	Other - Corruption	m	ar	2
2020-10-13	Economy	Other - Economy	m	ar	1
2020-10-14	Corruption	Other - Corruption	f	ar	2
2020-10-14	Corruption	Other - Corruption	m	ar	4
2020-10-14	Governance	Other - Governance	m	ar	1
2020-10-15	Security	Hopeless/Negative/Pessimistic	m	ar	1
2020-10-15	Security	Other - Security	m	ar	1
2020-10-15	Corruption	Other - Corruption	f	ar	52
2020-10-15	Corruption	Other - Corruption	f	und	5
2020-10-15	Corruption	Other - Corruption	m	ar	23
2020-10-15	Services	Other - Services	m	ar	1
2020-10-16	Security	Other - Security	m	ar	1
2020-10-16	Corruption	Other - Corruption	m	ar	2
2020-10-16	Governance	Other - Governance	m	ar	2
2020-10-16	Governance	Other - Governance	m	ar	1
2020-10-17	Security	Other - Security	f	ar	1
2020-10-17	Security	Other - Security	m	ar	2
2020-10-17	Security	Hopeless/Negative/Pessimistic	f	ar	1
2020-10-17	Security	Other - Security	m	ar	1
2020-10-17	Security	Other - Security	m	ar	2
2020-10-17	Corruption	Other - Corruption	f	ar	1
2020-10-17	Corruption	Other - Corruption	m	ar	2
2020-10-18	Security	Other - Security	m	ar	1
2020-10-18	Security	Other - Security	m	ar	1
2020-10-18	Security	Other - Security	f	ar	1
2020-10-18	Corruption	Other - Corruption	m	ar	2
2020-10-18	Services	Other - Services	m	ar	1
2020-10-18	Services	Collective Action	m	ar	1
2020-10-18	Governance	Other - Governance	m	ar	2
2020-10-19	Security	Other - Security	f	und	1
2020-10-19	Security	Other - Security	m	ar	3
2020-10-19	Security	Other - Security	m	ar	1
2020-10-19	Security	Other - Security	m	ar	1
2020-10-19	Corruption	Other - Corruption	m	ar	3
2020-10-19	Services	Other - Services	m	ar	1
2020-10-21	Security	Other - Security	m	ar	3
2020-10-21	Security	Other - Security	m	ar	1
2020-10-21	Corruption	Other - Corruption	f	ar	11
2020-10-21	Corruption	Other - Corruption	m	ar	7
2020-10-22	Security	Other - Security	f	ar	1
2020-10-22	Security	Other - Security	m	ar	3
2020-10-22	Security	Other - Security	m	ar	1
2020-10-22	Corruption	Other - Corruption	f	ar	3
2020-10-22	Corruption	Other - Corruption	m	ar	2
2020-10-23	Security	Other - Security	m	ar	2
2020-10-23	Security	Other - Security	m	ar	1
2020-10-23	Security	Other - Security	m	ar	1
2020-10-23	Corruption	Other - Corruption	f	ar	2
2020-10-23	Corruption	Other - Corruption	m	ar	7
2020-10-23	Governance	Other - Governance	m	ar	1
2020-10-24	Security	Other - Security	f	ar	1
2020-10-24	Security	Other - Security	m	ar	3
2020-10-24	Security	Other - Security	f	ar	2
2020-10-24	Security	Other - Security	m	ar	2
2020-10-24	Corruption	Other - Corruption	m	ar	6
2020-10-24	Corruption	Other - Corruption	m	ar	1
2020-10-24	Services	Other - Services	m	ar	2
2020-10-24	Governance	Other - Governance	m	ar	4
2020-10-25	Security	Other - Security	f	ar	1
2020-10-25	Security	Other - Security	m	ar	2
2020-10-25	Security	Hopeless/Negative/Pessimistic	m	ar	1
2020-10-25	Security	Other - Security	m	ar	1
2020-10-25	Security	Other - Security	f	ar	1
2020-10-25	Security	Other - Security	m	ar	1
2020-10-25	Security	Other - Security	f	ar	1
2020-10-25	Corruption	Other - Corruption	f	ar	2
2020-10-25	Corruption	Other - Corruption	m	ar	13
2020-10-25	Corruption	Other - Corruption	m	ar	2
2020-10-25	Services	Divine Intervention	f	ar	1
2020-10-26	Security	Other - Security	m	ar	4
2020-10-26	Security	Other - Security	m	ar	1
2020-10-26	Security	Other - Security	m	ar	1
2020-10-26	Security	Other - Security	f	ar	2
2020-10-26	Security	Other - Security	m	ar	1
2020-10-26	Corruption	Other - Corruption	m	ar	5
2020-10-27	Security	Other - Security	f	ar	1
2020-10-27	Security	Other - Security	m	ar	1
2020-10-27	Corruption	Other - Corruption	f	ar	2
2020-10-27	Corruption	Other - Corruption	m	ar	3
2020-10-27	Governance	Other - Governance	m	ar	1
2020-10-28	Security	Other - Security	m	ar	1
2020-10-28	Corruption	Other - Corruption	f	ar	1
2020-10-28	Corruption	Other - Corruption	m	ar	4
2020-10-28	Services	Other - Services	m	ar	1
2020-10-29	Security	Other - Security	f	ar	3
2020-10-29	Governance	Other - Governance	m	ar	1
2020-10-30	Corruption	Other - Corruption	m	ar	4
2020-10-30	Services	Other - Services	m	ar	2
2020-10-30	Governance	Other - Governance	m	ar	1
2020-10-30	Governance	Other - Governance	m	ar	1
2020-10-31	Security	Other - Security	f	ar	1
2020-10-31	Security	Other - Security	m	ar	2
2020-10-31	Security	Other - Security	f	ar	1
2020-10-31	Security	Other - Security	m	ar	1
2020-10-31	Corruption	Other - Corruption	f	ar	4
2020-10-31	Corruption	Other - Corruption	m	ar	4
2020-10-31	Corruption	Other - Corruption	m	ar	1
2020-10-31	Services	Other - Services	m	ar	1
2020-10-31	Governance	Other - Governance	f	ar	1
2020-09-01	Security	Other - Security	f	ar	1
2020-09-01	Security	Other - Security	m	ar	2
2020-09-01	Corruption	Other - Corruption	f	ar	3
2020-09-01	Corruption	Other - Corruption	m	ar	3
2020-09-01	Corruption	Other - Corruption	f	ar	1
2020-09-02	Corruption	Other - Corruption	m	ar	2
2020-09-02	Governance	Other - Governance	f	ar	1
2020-09-03	Security	Other - Security	f	ar	1
2020-09-03	Security	Other - Security	m	ar	2
2020-09-03	Corruption	Other - Corruption	f	ar	1
2020-09-03	Corruption	Other - Corruption	m	ar	2
2020-09-03	Services	Other - Services	m	ar	1
2020-09-04	Security	Other - Security	m	ar	1
2020-09-04	Security	Other - Security	m	ar	1
2020-09-04	Corruption	Other - Corruption	f	ar	1
2020-09-04	Corruption	Other - Corruption	m	ar	1
2020-09-05	Security	Other - Security	m	ar	1
2020-09-05	Corruption	Other - Corruption	f	ar	1
2020-09-05	Corruption	Other - Corruption	m	ar	2
2020-09-05	Services	Other - Services	f	ar	1
2020-09-05	Services	Collective Action	m	ar	1
2020-09-05	Governance	Other - Governance	m	ar	3
2020-09-06	Security	Other - Security	f	ar	1
2020-09-06	Security	Other - Security	m	ar	1
2020-09-06	Corruption	Other - Corruption	f	ar	5
2020-09-06	Corruption	Other - Corruption	m	ar	2
2020-09-06	Services	Other - Services	m	ar	1
2020-09-06	Governance	Other - Governance	f	ar	1
2020-09-06	Governance	Other - Governance	m	ar	2
2020-09-07	Security	Other - Security	f	ar	1
2020-09-07	Security	Other - Security	m	ar	1
2020-09-07	Security	Other - Security	m	ar	1
2020-09-07	Security	Other - Security	m	ar	1
2020-09-07	Corruption	Other - Corruption	m	ar	1
2020-09-07	Services	Other - Services	m	ar	1
2020-09-08	Security	Other - Security	f	ar	1
2020-09-08	Security	Other - Security	f	ar	2
2020-09-08	Security	Other - Security	m	ar	1
2020-09-08	Corruption	Other - Corruption	m	ar	3
2020-09-09	Security	Other - Security	f	ar	1
2020-09-09	Security	Other - Security	m	ar	3
2020-09-09	Security	Hopeful/Positive/Optimistic	m	ar	1
2020-09-09	Security	Other - Security	m	ar	1
2020-09-09	Security	Other - Security	m	ar	1
2020-09-09	Corruption	Other - Corruption	f	ar	1
2020-09-09	Services	Other - Services	m	ar	1
2020-09-09	Governance	Other - Governance	m	ar	1
2020-09-10	Corruption	Other - Corruption	f	ar	1
2020-09-10	Corruption	Other - Corruption	m	ar	1
2020-09-11	Corruption	Other - Corruption	m	ar	1
2020-09-11	Economy	Other - Economy	m	ar	1
2020-09-11	Governance	Other - Governance	m	ar	1
2020-09-12	Security	Other - Security	m	ar	1
2020-09-12	Security	Other - Security	m	ar	1
2020-09-12	Corruption	Other - Corruption	m	ar	2
2020-09-13	Security	Other - Security	m	ar	1
2020-09-13	Security	Other - Security	m	ar	1
2020-09-13	Corruption	Other - Corruption	f	ar	1
2020-09-13	Corruption	Other - Corruption	m	ar	2
2020-09-13	Corruption	Other - Corruption	f	ar	1
2020-09-13	Services	Other - Services	f	ar	1
2020-09-14	Security	Other - Security	f	fa	1
2020-09-14	Security	Other - Security	m	ar	1
2020-09-14	Security	Other - Security	m	ar	2
2020-09-14	Corruption	Other - Corruption	f	ar	1
2020-09-14	Corruption	Other - Corruption	m	ar	3
2020-09-14	Services	Divine Intervention	m	ar	1
2020-09-15	Security	Hopeless/Negative/Pessimistic	m	ar	1
2020-09-15	Corruption	Other - Corruption	m	ar	2
2020-09-15	Corruption	Other - Corruption	m	ar	1
2020-09-16	Security	Other - Security	f	ar	1
2020-09-16	Corruption	Other - Corruption	m	ar	4
2020-09-16	Services	Other - Services	m	ar	1
2020-09-17	Security	Other - Security	f	ar	2
2020-09-17	Security	Other - Security	m	ar	2
2020-09-17	Security	Hopeful/Positive/Optimistic	m	ar	1
2020-09-17	Services	Other - Services	m	ar	2
2020-09-18	Security	Other - Security	f	ar	1
2020-09-18	Security	Other - Security	m	ar	2
2020-09-18	Security	Other - Security	m	ar	1
2020-09-18	Corruption	Other - Corruption	f	ar	1
2020-09-18	Governance	Other - Governance	m	ar	1
2020-09-19	Security	Other - Security	m	ar	2
2020-09-19	Security	Other - Security	m	ar	1
2020-09-19	Corruption	Other - Corruption	f	ar	1
2020-09-19	Corruption	Other - Corruption	m	ar	9
2020-09-19	Services	Other - Services	m	ar	1
2020-09-19	Economy	Other - Economy	m	ar	1
2020-09-20	Security	Other - Security	m	ar	1
2020-09-20	Corruption	Other - Corruption	f	ar	3
2020-09-20	Corruption	Other - Corruption	m	ar	4
2020-09-20	Services	Collective Action	m	ar	1
2020-09-20	Governance	Other - Governance	m	ar	1
2020-09-21	Security	Other - Security	m	ar	2
2020-09-21	Security	Other - Security	m	ar	1
2020-09-21	Security	Other - Security	m	ar	1
2020-09-21	Security	Other - Security	m	ar	1
2020-09-21	Corruption	Other - Corruption	m	ar	7
2020-09-21	Corruption	Other - Corruption	m	ar	1
2020-09-21	Services	Other - Services	m	ar	1
2020-09-21	Services	Collective Action	m	ar	1
2020-09-21	Governance	Other - Governance	m	ar	2
2020-09-22	Security	Other - Security	f	ar	2
2020-09-22	Security	Other - Security	m	ar	1
2020-09-22	Security	Other - Security	m	ar	2
2020-09-22	Security	Other - Security	m	ar	2
2020-09-22	Corruption	Other - Corruption	f	ar	1
2020-09-22	Corruption	Other - Corruption	m	ar	3
2020-09-22	Services	Other - Services	m	ar	1
2020-09-22	Services	Collective Action	f	ar	1
2020-09-23	Security	Other - Security	m	ar	2
2020-09-23	Security	Other - Security	f	ar	2
2020-09-23	Security	Other - Security	m	ar	1
2020-09-23	Corruption	Other - Corruption	m	ar	3
2020-09-23	Services	Other - Services	m	ar	1
2020-09-23	Governance	Other - Governance	m	ar	1
2020-09-24	Security	Other - Security	m	ar	3
2020-09-24	Security	Other - Security	m	ar	1
2020-09-24	Corruption	Other - Corruption	m	ar	2
2020-09-24	Governance	Other - Governance	m	ar	1
2020-09-25	Security	Other - Security	f	ar	1
2020-09-25	Security	Other - Security	m	ar	2
2020-09-25	Security	Other - Security	m	ar	1
2020-09-25	Corruption	Other - Corruption	f	ar	1
2020-09-25	Corruption	Other - Corruption	m	ar	1
2020-09-26	Security	Other - Security	m	ar	2
2020-09-26	Corruption	Other - Corruption	f	ar	1
2020-09-26	Corruption	Other - Corruption	m	ar	2
2020-09-26	Corruption	Other - Corruption	m	ar	1
2020-09-26	Services	Other - Services	f	ar	1
2020-09-27	Security	Other - Security	f	ar	1
2020-09-27	Security	Other - Security	m	ar	2
2020-09-27	Security	Other - Security	f	ar	1
2020-09-27	Corruption	Other - Corruption	m	ar	1
2020-09-28	Security	Other - Security	m	ar	1
2020-09-28	Corruption	Other - Corruption	f	ar	5
2020-09-28	Corruption	Other - Corruption	m	ar	3
2020-09-29	Security	Other - Security	f	ar	1
2020-09-29	Security	Other - Security	m	ar	1
2020-09-29	Corruption	Other - Corruption	m	ar	1
2020-09-29	Services	Other - Services	m	ar	1
2020-09-29	Services	Divine Intervention	m	ar	1
2020-09-29	Governance	Other - Governance	f	ar	1
2020-09-30	Security	Other - Security	f	ar	5
2020-09-30	Security	Other - Security	f	ar	1
2020-09-30	Corruption	Other - Corruption	f	ar	3
2020-09-30	Corruption	Other - Corruption	m	ar	5
2020-09-30	Services	Other - Services	f	ar	1
2020-09-30	Governance	Other - Governance	m	ar	1
2020-08-01	Security	Other - Security	f	ar	4
2020-08-01	Security	Other - Security	m	ar	11
2020-08-01	Security	Hopeful/Positive/Optimistic	m	ar	2
2020-08-01	Security	Other - Security	m	ar	1
2020-08-01	Security	Other - Security	f	ar	1
2020-08-01	Security	Other - Security	m	ar	2
2020-08-01	Corruption	Other - Corruption	f	ar	4
2020-08-01	Corruption	Other - Corruption	m	ar	9
2020-08-01	Services	Other - Services	m	ar	1
2020-08-01	Governance	Other - Governance	m	ar	3
